date,AQI
1987-01-31,242.4386524822695
1987-02-28,235.78792892156866
1987-03-31,294.55877192982456
1987-04-30,202.01268115942025
1987-05-31,307.9916666666667
1987-06-30,265.91666666666663
1987-07-31,208.525
1987-08-31,288.44444444444446
1987-09-30,250.97916666666666
1987-10-31,156.625
1987-11-30,255.0340909090909
1987-12-31,350.375
1988-01-31,211.0765015015016
1988-02-29,209.3608818770226
1988-03-31,245.01030701754385
1988-04-30,250.56250000000006
1988-05-31,175.7657142857143
1988-06-30,104.22222222222221
1988-07-31,328.125
1988-08-31,149.46969696969697
1988-09-30,212.4916666666667
1988-10-31,85.94166666666666
1988-11-30,270.52604166666663
1988-12-31,302.5
1989-01-31,236.5133101851851
1989-02-28,252.21643192488267
1989-03-31,251.71075949367082
1989-04-30,245.02058823529416
1989-05-31,251.66666666666666
1989-06-30,180.879329004329
1989-07-31,130.71714975845413
1989-08-31,128.36263020833337
1989-09-30,148.05079908675802
1989-10-31,160.20833333333334
1989-12-31,226.84277777777777
1990-01-31,239.07103174603174
1990-02-28,205.78729838709674
1990-03-31,210.2123983739837
1990-04-30,239.90019379844964
1990-05-31,236.1090966921119
1990-06-30,254.42756410256413
1990-07-31,152.79987373737373
1990-08-31,132.38830532212884
1990-09-30,125.81508264462812
1990-10-31,188.14420572916669
1990-11-30,225.29265873015873
1990-12-31,236.81303418803424
1991-01-31,238.06005208333332
1991-02-28,211.30539906103292
1991-03-31,212.00557511737088
1991-04-30,255.33682983682988
1991-05-31,231.82549342105258
1991-06-30,189.70565476190467
1991-07-31,161.49070247933884
1991-08-31,116.02083333333331
1991-09-30,135.91198347107434
1991-10-31,199.28839506172838
1991-11-30,216.5294117647059
1991-12-31,224.85337150127225
1992-01-31,177.48510638297873
1992-02-29,146.10503597122306
1992-03-31,160.80915404040405
1992-04-30,218.62431129476587
1992-05-31,227.51474926253695
1992-06-30,216.29611650485438
1992-07-31,146.7082236842105
1992-08-31,100.30229166666665
1992-09-30,98.24926470588238
1992-10-31,127.07460317460315
1992-11-30,147.1392156862745
1992-12-31,175.77450980392155
1993-01-31,65.7546130952381
1993-02-28,69.10677083333333
1993-03-31,71.53046218487394
1993-04-30,57.25527777777778
1993-05-31,48.444607843137256
1993-06-30,76.68565217391304
1993-07-31,57.50246031746032
1993-08-31,63.73757183908045
1993-09-30,59.50038226299695
1993-10-31,63.91953125
1993-11-30,84.55845498783454
1993-12-31,87.34908854166666
1994-01-31,205.63634259259263
1994-02-28,192.79348370927315
1994-03-31,224.34289044289048
1994-04-30,192.10531400966184
1994-05-31,226.7923406862745
1994-06-30,194.25432098765435
1994-07-31,136.47733333333332
1994-08-31,149.60667989417988
1994-09-30,176.97409909909908
1994-11-30,230.04403892944035
1994-12-31,282.918290960452
1995-01-31,227.10223311546844
1995-02-28,229.95201525054466
1995-03-31,196.7610232067511
1995-04-30,192.95299145299148
1995-05-31,205.87582815734987
1995-06-30,196.11713541666666
1995-07-31,158.2072530864197
1995-08-31,140.09937888198752
1995-09-30,150.76677215189875
1995-10-31,181.16011111111112
1995-11-30,218.84226190476193
1995-12-31,247.28476645435242
1996-01-31,216.8501893939395
1996-02-29,227.16384180790956
1996-03-31,230.2787356321839
1996-04-30,242.99215686274508
1996-05-31,244.93798449612405
1996-06-30,238.81969696969693
1996-07-31,152.90637550200807
1996-08-31,149.73564257028116
1996-09-30,180.16206543967283
1996-10-31,219.89212398373988
1996-11-30,244.85640624999996
1996-12-31,265.813125
1997-01-31,220.90357142857144
1997-02-28,228.39416666666662
1997-03-31,212.58434489402688
1997-04-30,171.10759493670886
1997-05-31,185.27056962025316
1997-06-30,159.44358178053832
1997-07-31,138.4824130879345
1997-08-31,123.96270576131684
1997-09-30,138.69989648033123
1997-10-31,159.64036458333342
1997-11-30,172.2560606060606
1997-12-31,171.92622080679405
1998-01-31,234.74065656565662
1998-02-28,227.11179718875508
1998-03-31,208.34226190476195
1998-04-30,218.64100609756102
1998-05-31,232.8722389558233
1998-06-30,188.38271604938268
1998-07-31,151.2862903225806
1998-08-31,145.17477924944814
1998-09-30,159.6213888888889
1998-10-31,212.11759259259256
1998-11-30,241.69577205882354
1998-12-31,281.56404958677683
1999-01-31,225.43921845574388
1999-02-28,213.37495210727965
1999-03-31,229.6318181818182
1999-04-30,233.21049019607847
1999-05-31,214.3454545454546
1999-06-30,195.19977168949774
1999-07-31,150.83890845070428
1999-08-31,139.20805180180182
1999-09-30,146.99773242630383
1999-10-31,167.00442176870746
1999-11-30,207.60209790209797
1999-12-31,234.1973844282238
2000-01-31,195.7723765432098
2000-02-29,176.06944444444446
2000-03-31,181.43677083333336
2000-04-30,192.32505020080328
2000-05-31,181.84984662576687
2000-06-30,151.25827991452988
2000-07-31,117.52004219409284
2000-08-31,112.12573839662451
2000-09-30,123.0682613168724
2000-10-31,172.57359375000007
2000-11-30,191.679375
2000-12-31,220.2679292929293
2001-01-31,205.2372350674374
2001-02-28,207.7809454191033
2001-03-31,181.4243371212121
2001-04-30,205.50143678160924
2001-05-31,185.90549348230914
2001-06-30,149.00635162601625
2001-07-31,111.94667658730155
2001-08-31,119.07236842105262
2001-09-30,128.72504708097927
2001-10-31,155.60510299625471
2001-11-30,189.7440134099617
2001-12-31,198.49857142857144
2002-01-31,149.70687134502924
2002-02-28,141.26583820662765
2002-03-31,143.21490196078432
2002-04-30,158.65882352941173
2002-05-31,155.45397286821708
2002-06-30,124.34331337325348
2002-07-31,136.72695530726256
2002-08-31,106.51119791666669
2002-09-30,113.00846354166669
2002-10-31,146.1972076788831
